UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;C(=S)=S;6348
Q14457;BCL2_HUMAN;C=CS(=O)(=O)C=C;6496
Q14457;BCL2_HUMAN;CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C;6527
Q14457;BCL2_HUMAN;C(=C(Cl)Cl)Cl;6575
Q14457;BCL2_HUMAN;C=CC(=O)N;6579
Q14457;BCL2_HUMAN;CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O;6623
Q14457;BCL2_HUMAN;C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O;6626
Q14457;BCL2_HUMAN;CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC;6758
Q14457;BCL2_HUMAN;C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3;6777
Q14457;BCL2_HUMAN;C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31;6795
Q14457;BCL2_HUMAN;C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O;7427
Q14457;BCL2_HUMAN;CC1=CCC(C=C1)C(C)C;7460
Q14457;BCL2_HUMAN;C1=CC=C(C=C1)OC2=CC=C(C=C2)Br;7565
Q14457;BCL2_HUMAN;C1=CC(=CC=C1CC2=CC=C(C=C2)N)N;7577
Q14457;BCL2_HUMAN;C=CC#N;7855
Q14457;BCL2_HUMAN;CCCCOP(=O)(O)OCCCC;7881
Q14457;BCL2_HUMAN;C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3;8289
Q14457;BCL2_HUMAN;CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC;8343
Q14457;BCL2_HUMAN;C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O;8515
Q14457;BCL2_HUMAN;COC(=O)C1=CC=CC=C1C(=O)OC;8554
Q14457;BCL2_HUMAN;C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl;8606
Q14457;BCL2_HUMAN;C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl;8607
Q14457;BCL2_HUMAN;C1=C(C=C(C(=C1O)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+];9001
Q14457;BCL2_HUMAN;COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl;9280
Q14457;BCL2_HUMAN;CC(=O)[O-].CC(=O)[O-].[Pb+2];9317
Q14457;BCL2_HUMAN;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O;9403
Q14457;BCL2_HUMAN;CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC;9502
Q14457;BCL2_HUMAN;C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;9554
Q14457;BCL2_HUMAN;C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O;9777
Q14457;BCL2_HUMAN;C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O;10168
Q14457;BCL2_HUMAN;CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C;10228
