protein,com_id,com_pubchem_id,prob
SIR3,COM00004237,239,0.12
SIR4,COM00006123,1176,0.12
SIR4,COM00000748,6274,0.12
KLOT,COM00000117,3631,0.12
CDN2A,COM00004561,46936484,0.12
SIR3,COM00002768,12620,0.12
IGF1,COM00001634,971,0.12
SIR5,COM00005095,9294,0.12
SIR2,COM00005220,19,0.12
CDN2A,COM00000117,3631,0.12
SIR4,COM00000076,54675858,0.12
CDN2A,COM00003206,6047,0.12
SIR4,COM00004730,342,0.12
KLOT,COM00000369,46936757,0.12
SIR3,COM00005189,47936,0.12
IGF1,COM00003074,439246,0.12
SIR4,COM00002234,702,0.12
BECN1,COM00000320,107971,0.11
KLOT,COM00004622,6106,0.11
SIR5,COM00002001,3182,0.11
SIR5,COM00004407,1103,0.11
SIR4,COM00001997,5870,0.11
CDN2A,COM00004056,2230,0.11
SIR5,COM00004713,7054,0.11
SIR3,COM00000998,1110,0.11
SIR3,COM00001695,289,0.11
SIR3,COM00000748,6274,0.11
SIR2,COM00002175,190,0.11
SIR4,COM00004258,439260,0.11
CDN2A,COM00004134,5429,0.11
SIR2,COM00001695,289,0.11
SIR3,COM00000101,439685,0.11
SIR4,COM00002659,10430,0.11
SIR5,COM00005088,6267,0.11
CDN2A,COM00000890,2153,0.11
BCL2,COM00001188,6037,0.11
SIR4,COM00005439,79034,0.11
SIR3,COM00002683,7991,0.11
SIR2,COM00004407,1103,0.11
SIR1,COM00004407,1103,0.11
SIR4,COM00004873,8969,0.11
SIR2,COM00004237,239,0.11
SIR5,COM00002659,10430,0.11
KLOT,COM00004056,2230,0.11
KLOT,COM00001123,264,0.11
SIR3,COM00004404,5960,0.11
IGF1,COM00005845,5288826,0.11
SIR2,COM00002631,785,0.1
KLOT,COM00004376,2353,0.1
SIR4,COM00002631,785,0.1
SIR2,COM00004628,750,0.1
KLOT,COM00002175,190,0.1
SIR5,COM00003147,440473,0.1
IGF1,COM00000140,1123,0.1
SIR5,COM00004948,24417,0.1
KLOT,COM00006492,311,0.1
IGF1,COM00006107,446220,0.1
IGF1,COM00002989,3000346,0.1
SIR5,COM00006123,1176,0.1
SIR2,COM00004622,6106,0.1
BECN1,COM00005979,938,0.1
KLOT,COM00002506,996,0.1
SIR5,COM00001191,5862,0.1
